mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20.802528858184814,0.22515307048153965,0.4877002239227295,0.036851886982560776,1.0,5,3,5,1.0,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 3, 'gamma': 5, 'colsample_bytree': 1.0}",0.40242669362992917,0.41616161616161623,0.404233870967742,0.4076073935864291,0.006093576693642607,5
36.61675270398458,0.032077714379787035,1.1006284554799397,0.07212745728249394,0.6,1,5,1.5,0.8,"{'subsample': 0.6, 'min_child_weight': 1, 'max_depth': 5, 'gamma': 1.5, 'colsample_bytree': 0.8}",0.48999046711153477,0.463331714424478,0.4935560859188544,0.48229275581828907,0.013486270238607856,2
32.46114754676819,0.49408741442345144,1.0971872011820476,0.14469069804904502,0.8,5,5,1,0.8,"{'subsample': 0.8, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 1, 'colsample_bytree': 0.8}",0.49596199524940615,0.46407766990291255,0.49018669219722355,0.48340878578318075,0.013871014435827576,1
23.669620275497437,0.6332237753435215,1.0459402402242024,0.04613337650645593,1.0,5,5,5,0.6,"{'subsample': 1.0, 'min_child_weight': 5, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.6}",0.4814278822961891,0.4489393191909225,0.4840887174541948,0.4714853063137688,0.015979385938184716,3
27.845231691996258,0.36719256898310126,0.8300713698069254,0.04598538133990634,0.8,1,4,1,1.0,"{'subsample': 0.8, 'min_child_weight': 1, 'max_depth': 4, 'gamma': 1, 'colsample_bytree': 1.0}",0.4822627037392138,0.4495818986719134,0.46708922476840564,0.46631127572651093,0.013353218301107812,4
